Marque,Modèle,year,road,boite,horsepower,fuel,nbre_portes,cylindrée,transmission,Prix
Mercedes-Benz,Classe E,2024,0 km,Automatique,10 cv,Essence,4,1400,Intégrale,430 000
Peugeot,2008,2014,162 000 km,Manuelle,5 cv,Essence,4,2398,Traction,36 000
Mazda,6,2013,256 000 km,Automatique,9 cv,Essence,5,999,Traction,33 000
Ford,Ecosport Titanium,2022,60 000 km,Manuelle,7 cv,Essence,5,1497,Traction,68 000
Toyota,C-HR Sport,2020,162 000 km,Automatique,6 cv,Essence,4,1999,Traction,73 000
Mercedes-Benz,Classe C coupé AMG,2012,168 000 km,Automatique,9 cv,Essence,4,1200,Propulsion,77 000
KIA,Picanto GT-Line,2018,109 000 km,Automatique,5 cv,Essence,4,1499,Traction,39 900
Audi,A3 Sportback S-Line,2023,14 000 km,Automatique,6 cv,Essence,5,1600,Traction,127 000
Audi,A3 Sportback Sportback,2018,210 000 km,Manuelle,6 cv,Essence,5,1400,Traction,69 000
Mercedes-Benz,Classe C,2013,235 000 km,Manuelle,9 cv,Essence,4,5000,Traction,55 500
Audi,Q5 2.0L,2009,255 000 km,Automatique,13 cv,Essence,4,3000,Traction,47 000
Volkswagen,Golf 8,2023,40 000 km,Automatique,8 cv,Essence,5,6500,Traction,139 000
Mercedes-Benz,Classe C AMG,2014,164 000 km,Automatique,9 cv,Essence,5,1199,Traction,89 000
Mercedes-Benz,Classe E 1.6L,2017,132 000 km,Automatique,9 cv,Essence,4,1500,Traction,138 000
Jeep,Wrangler 4.0L,1989,200 000 km,Manuelle,8 cv,Essence,4,1600,Traction,72 000
Seat,Leon Xcellence,2023,37 000 km,Automatique,7 cv,Essence,5,1000,Traction,108 000
Peugeot,3008 1.2L,2020,70 000 km,Automatique,6 cv,Essence,5,1598,Traction,89 000
Skoda,Fabia 1.6L,2018,137 000 km,Manuelle,5 cv,Essence,4,1498,Traction,43 000
Ford,Fusion 1.6,2017,90 000 km,Manuelle,9 cv,Essence,,,Traction,55 500
Nissan,Juke,2015,160 000 km,Automatique,7 cv,Essence,4,3000,Traction,39 500
BMW,Série 5 520,2014,182 000 km,Automatique,9 cv,Essence,5,3600,Traction,75 000
Volkswagen,Golf 8 1.5L,2021,80 000 km,Manuelle,7 cv,Essence,4,999,Traction,93 000
BMW,X1 1.6L,2016,126 000 km,Automatique,7 cv,Essence,4,2000,Traction,85 000
BMW,X2 S drive,2020,74 000 km,Automatique,8 cv,Essence,,,Traction,132 000
Citroën,Berlingo Utilitaire 1.6L,2023,31 000 km,Manuelle,5 cv,Diesel,5,2000,Traction,58 500
BMW,Série 1 M,2022,40 000 km,Automatique,7 cv,Essence,5,1000,Traction,138 500
Audi,A3 Sportback 1.2L,2019,125 000 km,Manuelle,6 cv,Essence,4,1200,Traction,78 500
Ford,Focus,2016,149 000 km,Manuelle,5 cv,Essence,5,1998,Traction,36 500
Mercedes-Benz,GLC Plug-in Hybride AMG,2021,46 000 km,Automatique,10 cv,Hybride,5,1600,Traction,285 000
Hyundai,Tucson N Line,2021,115 000 km,Automatique,7 cv,Hybride,5,1050,Traction,117 000
Volkswagen,Golf 7 Join,2019,96 000 km,Manuelle,6 cv,Essence,4,2000,Traction,73 500
Volkswagen,Golf 7 Importé,2020,40 000 km,Manuelle,6 cv,Essence,4,1998,Traction,73 500
Peugeot,Partner,2014,220 000 km,Manuelle,5 cv,Diesel,4,1995,Traction,37 200
Mercedes-Benz,Classe E AMG,2018,95 000 km,Automatique,9 cv,Essence,5,2199,Traction,155 000
Land,Rover Range Rover Evoque R-Dynamic,2016,150 000 km,Automatique,10 cv,Diesel,4,1000,Propulsion,122 000
Mercedes-Benz,Classe C AMG,2019,135 000 km,Automatique,8 cv,Essence,4,2198,Traction,Sous leasing                    161 300
BMW,Série 4 Gran Coupé,2019,90 000 km,Automatique,7 cv,Essence,5,1998,Traction,145 000
Mercedes-Benz,GLA AMG,2023,20 000 km,Automatique,7 cv,Essence,4,3000,Traction,189 000
Mercedes-Benz,Classe C coupé AMG,2019,86 000 km,Automatique,10 cv,Hybride,5,1496,Traction,178 000
Land,Rover Range Rover Velar R-Dynamic,2020,55 000 km,Automatique,10 cv,Diesel,5,1498,Propulsion,258 000
Mercedes-Benz,Classe S S 350 phase 2,2010,165 000 km,Automatique,18 cv,Essence,5,1995,Traction,122 000
Hyundai,Kona Hybride N Line,2020,19 500 km,Automatique,6 cv,Hybride,4,1598,Intégrale,97 500
Audi,Q3,2019,110 000 km,Automatique,9 cv,Essence,4,1300,Propulsion,112 000
Porsche,Cayenne,2012,195 000 km,Automatique,21 cv,Essence,4,1598,Propulsion,152 000
MG,HS Trophy,2021,35 000 km,Automatique,15 cv,Essence,4,1798,Traction,103 000
Volkswagen,Golf 7 Join,2018,83 000 km,Manuelle,4 cv,Essence,5,1998,Propulsion,72 000
Mercedes-Benz,Classe S S350. Toit ouvrant,2009,147 000 km,Automatique,19 cv,Essence,5,1599,Traction,98 000
Mercedes-Benz,Classe C,2022,7 300 km,Automatique,9 cv,Essence,4,1600,Propulsion,230 000
KIA,Sportage SX,2022,37 000 km,Automatique,10 cv,Essence,5,2993,Intégrale,139 000
Mercedes-Benz,Classe C Classic,2019,125 000 km,Automatique,8 cv,Essence,4,2998,Propulsion,103 000
Volkswagen,Golf 7 GTI,2016,75 000 km,Automatique,13 cv,Essence,5,1796,Traction,102 000
Ssangyong,Tivoli Confort Plus,2016,127 000 km,Automatique,7 cv,Essence,5,4198,Traction,59 000
BMW,Série 3 318i Pack sport,2019,89 000 km,Automatique,7 cv,Essence,5,3604,Traction,89 000
Haval,H6 Luxury,2022,80 000 km,Automatique,8 cv,Essence,5,998,Traction,98 000
Audi,A3 Berline BVA,2020,17 000 km,Manuelle,6 cv,Essence,5,1199,Traction,88 000
Jeep,Wrangler Sahara,2018,115 000 km,Automatique,20 cv,Essence,5,3956,Traction,225 000
Peugeot,3008 Allure,2019,38 000 km,Automatique,7 cv,Essence,5,1600,Traction,88 000
Mercedes-Benz,Classe C Avantgarde,2022,27 000 km,Automatique,8 cv,Essence,4,999,Traction,159 000
Peugeot,3008 Allure,2020,75 000 km,Automatique,6 cv,Essence,5,1599,Traction,75 000
BMW,X4,2018,140 000 km,Automatique,10 cv,Diesel,5,1498,Traction,139 000
Volkswagen,Polo R-Line,2020,70 000 km,Manuelle,4 cv,Essence,5,1353,Traction,65 500
Volkswagen,Golf 7 BVA,2020,200 000 km,Automatique,5 cv,Essence,5,1390,Traction,69 000
BMW,Série 1 Pack Sport M,2016,165 000 km,Automatique,7 cv,Essence,5,2000,Traction,75 000
Hyundai,Tucson Top Grade,2022,40 000 km,Automatique,10 cv,Essence,4,3000,Intégrale,147 000
Lada,4x4 Urban,2020,58 000 km,Manuelle,7 cv,Essence,5,999,Traction,41 000
Mercedes-Benz,Classe X,2020,68 000 km,Automatique,8 cv,Diesel,5,1300,Traction,205 000
Seat,Arona Xperience,2022,47 000 km,Automatique,6 cv,Essence,4,3000,Traction,81 000
Toyota,Corolla Dynamic,2020,85 000 km,Automatique,6 cv,Essence,5,1200,Traction,69 000
Fiat,500X Pop Star,2018,60 000 km,Automatique,7 cv,Essence,5,1199,Traction,65 000
Land,Rover Discovery,2015,170 000 km,Automatique,15 cv,Essence,5,1599,Traction,115 000
Haval,Jolion,2021,40 000 km,Automatique,9 cv,Essence,4,1998,Traction,88 000
Toyota,C-HR,2018,130 000 km,Automatique,6 cv,Essence,4,1198,Traction,73 000
Nissan,Juke Tekna,2024,6 000 km,Automatique,6 cv,Essence,4,1198,Traction,92 500
Mercedes-Benz,Classe C AMG,2023,20 000 km,Automatique,9 cv,Essence,3,3030,Traction,Sous leasing                    255 100
Mercedes-Benz,CLA Kit Amg 200,2020,150 000 km,Manuelle,9 cv,Essence,,,Traction,129 000
Seat,Ibiza Xcellence,2021,68 000 km,Manuelle,6 cv,Essence,5,1200,Traction,62 000
KIA,Rio 5p SX,2020,70 000 km,Manuelle,5 cv,Essence,5,1999,Traction,57 500
MG,ZS Luxury,2022,20 000 km,Automatique,7 cv,Essence,5,3000,Traction,72 000
Chery,Tiggo 7 Pro,2024,0 km,Automatique,9 cv,Essence,4,4999,Traction,101 000
Audi,Q3 BVA,2023,3 000 km,Automatique,9 cv,Essence,5,2000,Traction,165 000
Peugeot,408 GT,2024,10 000 km,Automatique,11 cv,Essence,5,1999,Traction,155 000
BMW,Série 6 Face Lift,2009,190 000 km,Automatique,17 cv,Essence,4,1598,Traction,85 000
Land,Rover Range Rover Sport HSE Dynamic,2016,300 000 km,Automatique,19 cv,Diesel,5,1353,Traction,189 000
KIA,Rio 5p GT-Line,2021,70 000 km,Manuelle,5 cv,Essence,5,1000,Traction,62 000
KIA,Sportage GT-Line,2024,15 000 km,Automatique,7 cv,Hybride,5,1300,Traction,188 000
Mercedes-Benz,GLA 250e Pack AMG,2023,26 000 km,Automatique,8 cv,Hybride,4,1499,Traction,225 000
Mahindra,Pick-up SC,2021,120 000 km,Manuelle,7 cv,Diesel,4,1400,Traction,39 000
Peugeot,3008,2020,112 000 km,Automatique,7 cv,Essence,5,1300,Traction,69 000
KIA,Rio 5p GT-Line,2023,9 000 km,Manuelle,5 cv,Essence,5,2945,Traction,73 000
Mercedes-Benz,Classe C Pack AMG Pack night,2019,120 000 km,Automatique,10 cv,Hybride,4,1560,Traction,152 000
Peugeot,3008 GT GT-line,2020,125 000 km,Automatique,6 cv,Essence,5,1000,Traction,89 000
MG,HS Luxury,2020,87 000 km,Automatique,9 cv,Essence,5,1353,Traction,77 900
Mercedes-Benz,GLA AMG,2021,90 000 km,Automatique,9 cv,Essence,5,1500,Traction,173 000
BMW,Série 4 Coupé 420i,2015,180 000 km,Automatique,10 cv,Essence,5,1395,Traction,87 000
Chery,Tiggo 7 Pro,2022,40 000 km,Automatique,9 cv,Essence,5,1395,Traction,88 000
Suzuki,Jimny 3 portes,2023,20 000 km,Automatique,6 cv,Essence,5,1200,Traction,98 000
Mercedes-Benz,CLA Kit AMG,2014,124 000 km,Automatique,9 cv,Essence,5,1600,Traction,83 000
Citroën,C3 Shine,2018,88 000 km,Manuelle,4 cv,Essence,5,1198,Traction,37 500
Mercedes-Benz,Classe C coupé AMG,2012,200 000 km,Automatique,9 cv,Essence,4,2000,Traction,63 000
Renault,Clio 4,2021,120 000 km,Manuelle,5 cv,Essence,5,3000,Traction,45 000
Mini,3 portes One,2009,200 000 km,Manuelle,5 cv,Essence,4,1198,Traction,29 000
Hyundai,Tucson High Grade,2023,19 000 km,Automatique,9 cv,Essence,4,1598,Traction,129 000
Nissan,Juke Tekna,2021,53 000 km,Automatique,6 cv,Essence,,,Traction,87 000
Jeep,Renegade,2021,88 000 km,Automatique,8 cv,Essence,4,1000,Traction,88 000
Mercedes-Benz,Classe C AMG,2019,120 000 km,Automatique,10 cv,Hybride,2,2198,Traction,152 000
Ford,Mondeo Hybride,2020,34 000 km,Automatique,7 cv,Hybride,5,1000,Traction,109 000
Land,Rover Range Rover Evoque,2018,145 000 km,Automatique,8 cv,Diesel,5,1499,Traction,120 000
Volkswagen,Passat,2016,160 000 km,Manuelle,6 cv,Essence,5,1499,Traction,59 000
Haval,H6,2022,16 000 km,Automatique,8 cv,Essence,5,1199,Traction,117 000
Haval,H6 Luxury,2021,55 000 km,Automatique,9 cv,Essence,5,1999,Traction,85 000
Volkswagen,Golf 8 1.4,2022,40 000 km,Automatique,6 cv,Essence,4,1499,Traction,105 000
Jaguar,F-Pace R_Dynamic,2017,165 000 km,Automatique,10 cv,Diesel,5,1800,Traction,179 000
Renault,Kadjar,2018,140 000 km,Automatique,7 cv,Essence,5,999,Traction,70 000
Toyota,Corolla,2022,24 000 km,Automatique,6 cv,Essence,5,1559,Traction,79 000
Peugeot,308,2020,128 000 km,Manuelle,6 cv,Essence,4,1300,Traction,47 000
Mercedes-Benz,Classe C coupé AMG,2018,130 000 km,Automatique,8 cv,Essence,5,1600,Traction,167 000
Citroën,C3 Shine,2020,45 000 km,Manuelle,4 cv,Essence,4,1300,Traction,47 500
Ford,Focus Titanium,2015,200 000 km,Manuelle,6 cv,Essence,5,1590,Traction,40 000
Porsche,Panamera,2011,82 000 km,Automatique,20 cv,Essence,5,1500,Traction,178 000
KIA,Seltos,2021,130 000 km,Automatique,8 cv,Essence,4,1700,Traction,89 000
Seat,Ibiza FR,2023,40 000 km,Automatique,6 cv,Essence,4,1600,Propulsion,81 000
Alfa,Romeo Giulietta,2019,37 000 km,Automatique,7 cv,Essence,5,1598,Traction,77 000
Land,Rover Discovery R-DYNAMIC,2020,87 000 km,Automatique,8 cv,Diesel,3,1796,Traction,235 000
Volkswagen,Golf 7 Confortline,2013,190 000 km,Automatique,6 cv,Essence,4,1200,Traction,49 000
Renault,Megane 4 Diesel,2020,125 000 km,Manuelle,5 cv,Diesel,5,1600,Traction,64 500
KIA,Rio 5p GT-Line,2021,60 000 km,Manuelle,5 cv,Essence,5,1199,Traction,65 000
Fiat,Fiorino,2021,120 000 km,Manuelle,5 cv,Diesel,4,5500,Traction,35 000
Dacia,Duster Techroad,2020,35 000 km,Manuelle,6 cv,Essence,4,1500,Traction,75 000
BMW,Série 5 530e Xdrive Pack m,2021,50 000 km,Automatique,10 cv,Hybride,5,1800,Traction,278 000
BMW,Série 4 Gran Coupé 418 Luxury,2016,133 000 km,Automatique,7 cv,Essence,5,3000,Traction,97 000
Volkswagen,Passat R-Line DSG,2022,40 000 km,Automatique,7 cv,Essence,5,1200,Traction,125 000
Toyota,Hilux Double Cabine Gr Sport,2024,7 000 km,Manuelle,9 cv,Diesel,3,1600,Traction,290 000
Toyota,C-HR,2022,55 000 km,Automatique,6 cv,Essence,5,3600,Traction,91 000
Audi,A5 Sportback S-Line,2019,120 000 km,Automatique,8 cv,Essence,4,1500,Traction,109 000
Peugeot,2008,2021,100 000 km,Manuelle,6 cv,Diesel,5,4000,Traction,80 000
KIA,Rio 5p,2022,85 000 km,Manuelle,5 cv,Essence,4,1398,Traction,Sous leasing                    59 700
Honda,CR-V,2018,67 000 km,Automatique,11 cv,Essence,4,1000,Traction,91 000
Audi,Q5 S-line,2021,40 000 km,Automatique,11 cv,Diesel,4,1998,Traction,295 000
KIA,Sportage Hybride,2021,114 000 km,Automatique,7 cv,Hybride,5,1000,Traction,107 000
KIA,Sportage GT-Line,2021,19 000 km,Manuelle,7 cv,Diesel,5,2998,Traction,128 000
Dacia,Duster Techroad,2020,34 000 km,Manuelle,6 cv,Essence,3,1500,Traction,76 000
Mercedes-Benz,Classe S,2022,3 000 km,Automatique,16 cv,Hybride,5,2000,Traction,630 000
BMW,X5 Hybride Xdrive E45,2021,19 000 km,Automatique,15 cv,Hybride,5,1499,Traction,455 000
Hyundai,Tucson Hybride Xcellence,2022,120 000 km,Automatique,10 cv,Hybride,4,3000,Traction,138 000
BMW,Série 1 I Pack Sport,2019,200 000 km,Automatique,7 cv,Essence,5,1497,Traction,75 000
KIA,Sportage GT-Line,2017,140 000 km,Automatique,10 cv,Diesel,2,1219,Traction,105 000
Mercedes-Benz,Classe C AMG,2023,50 000 km,Automatique,9 cv,Essence,5,1000,Traction,235 000
Jaguar,XE,2017,140 000 km,Automatique,9 cv,Diesel,4,2697,Traction,120 000
Peugeot,Rifter,2020,95 000 km,Manuelle,7 cv,Diesel,4,2727,Traction,72 000
BMW,Série 7 740LI,2010,98 000 km,Automatique,23 cv,Essence,5,4197,Traction,110 000
Peugeot,Rifter 5 places,2020,95 000 km,Manuelle,7 cv,Diesel,2,1798,Traction,72 000
Land,Rover Range Rover Evoque Hybride,2019,50 000 km,Automatique,9 cv,Diesel,5,1136,Traction,187 000
Ford,Mondeo Hybride,2020,32 000 km,Automatique,7 cv,Hybride,5,1499,Traction,115 000
KIA,Rio 5p GT-Line,2021,64 000 km,Manuelle,5 cv,Essence,5,1395,Traction,64 000
Mercedes-Benz,GLC AMG,2017,115 000 km,Automatique,12 cv,Essence,5,2993,Traction,169 000
Mini,5 portes One,2016,78 000 km,Manuelle,6 cv,Essence,5,1595,Traction,57 000
Citroën,C3 Shine,2020,28 000 km,Manuelle,4 cv,Essence,5,1353,Traction,48 000
Audi,A3 Berline,2019,50 000 km,Automatique,6 cv,Essence,5,6500,Traction,85 000
KIA,Sportage,2019,127 000 km,Automatique,8 cv,Essence,4,2198,Traction,83 500
Mercedes-Benz,GLA AMG,2023,12 000 km,Automatique,11 cv,Essence,4,1995,Traction,Non dédouané                    235 000
Audi,Q3,2017,95 000 km,Automatique,7 cv,Essence,5,1500,Traction,95 000
Mercedes-Benz,GLB 200 d,2021,111 000 km,Automatique,9 cv,Diesel,4,900,Traction,210 000
Audi,A4 Face_lift,2016,143 000 km,Automatique,7 cv,Essence,5,2000,Traction,58 000
Land,Rover Range Rover Evoque Face_lift,2016,170 000 km,Automatique,15 cv,Essence,4,1998,Traction,95 000
BMW,Série 1 Pack M,2020,40 000 km,Automatique,7 cv,Essence,2,1598,Traction,135 000
Land,Rover Range Rover Evoque Hybride,2019,40 000 km,Automatique,9 cv,Diesel,5,2925,Traction,195 000
Haval,H6 Luxury,2020,120 000 km,Automatique,9 cv,Essence,5,1598,Traction,79 000
Iveco,Daily Simple Cabine,2022,40 000 km,Manuelle,10 cv,Diesel,4,1198,Propulsion,105 000
Land,Rover Discovery Sport,2017,128 000 km,Automatique,8 cv,Diesel,4,1600,Traction,128 000
Haval,H6 Luxury,2021,40 000 km,Automatique,9 cv,Essence,4,1599,Traction,90 000
KIA,Sportage Hybride,2020,140 000 km,Automatique,7 cv,Hybride,5,998,Traction,98 000
KIA,Sportage,2019,125 000 km,Automatique,8 cv,Essence,5,1000,Traction,85 000
Hyundai,Tucson Hybride,2021,80 000 km,Automatique,7 cv,Hybride,4,2000,Traction,137 000
Audi,Q5 QUATTRO 40 TDI,2019,170 000 km,Automatique,12 cv,Diesel,4,999,Traction,165 000
Fiat,Panda City Cross,2020,52 000 km,Manuelle,4 cv,Essence,4,4400,Traction,43 500
Volkswagen,Golf 6 Match,2012,240 000 km,Manuelle,6 cv,Diesel,5,1000,Traction,45 000
Ford,Ranger Raptor,2022,100 000 km,Automatique,7 cv,Diesel,4,1000,Traction,228 000
BMW,Série 4 Coupé Pack M,2021,140 000 km,Automatique,7 cv,Essence,5,1196,Traction,130 000
Mercedes-Benz,Classe B,2014,100 000 km,Manuelle,7 cv,Essence,5,1497,Traction,48 000
MG,ZS Luxury,2022,80 000 km,Automatique,7 cv,Essence,5,1599,Traction,75 000
Land,Rover Range Rover Evoque Hybride,2019,60 000 km,Automatique,8 cv,Diesel,4,1999,Traction,210 000
Renault,Kadjar,2019,70 000 km,Manuelle,7 cv,Essence,4,3000,Traction,68 000
Mazda,3 Sky active,2017,103 000 km,Manuelle,6 cv,Essence,4,1390,Traction,56 000
Audi,Q8 S_Line,2021,16 000 km,Automatique,23 cv,Essence,5,1479,Traction,398 000
Mercedes-Benz,Classe C coupé AMG,2019,50 000 km,Automatique,9 cv,Essence,4,1600,Traction,173 000
MG,ZS,2022,35 000 km,Manuelle,7 cv,Essence,4,1798,Traction,Sous leasing                    78 000
Suzuki,Baleno,2017,160 000 km,Automatique,5 cv,Essence,4,1998,Traction,40 000
KIA,Sportage,2019,69 000 km,Automatique,8 cv,Essence,5,3000,Traction,95 000
Ford,Kuga,2017,100 000 km,Manuelle,8 cv,Essence,4,1598,Traction,69 000
Mercedes-Benz,CLS AMG,2011,160 000 km,Automatique,11 cv,Diesel,5,3000,Traction,119 000
Mercedes-Benz,GLA 180 Pack AMG,2022,40 000 km,Automatique,7 cv,Essence,5,1198,Traction,185 000
Seat,Arona,2021,26 000 km,Manuelle,6 cv,Essence,4,1600,Traction,73 500
Toyota,Corolla,2021,90 000 km,Automatique,6 cv,Essence,5,1000,Traction,71 000
Haval,H6 Luxury,2020,115 000 km,Automatique,9 cv,Essence,5,3000,Traction,79 000
Skoda,Superb Ambassador,2021,30 000 km,Automatique,8 cv,Essence,4,899,Traction,125 000
MG,6,2021,22 000 km,Automatique,8 cv,Essence,3,1200,Traction,79 000
Mercedes-Benz,GLC Coupé AMG,2017,190 000 km,Automatique,9 cv,Diesel,,,Traction,189 000
Mercedes-Benz,Classe C 180 elegance,2016,170 000 km,Automatique,8 cv,Essence,5,1200,Traction,89 000
Mercedes-Benz,GLC Coupé AMG,2020,69 000 km,Automatique,12 cv,Hybride,3,1995,Traction,278 000
Mercedes-Benz,Classe E 180,2018,90 000 km,Automatique,9 cv,Essence,5,1499,Traction,135 000
Ssangyong,Actyon Sports,2017,200 000 km,Manuelle,7 cv,Diesel,5,1000,Traction,42 000
DS,3,2012,138 000 km,Automatique,6 cv,Essence,4,4999,Traction,35 000
Nissan,Qashqai,2011,147 000 km,Automatique,9 cv,Essence,4,2800,Traction,43 000
BMW,Série 5 Confort Luxury,2015,200 000 km,Automatique,10 cv,Essence,4,1500,Traction,90 000
Volkswagen,Passat R-Line,2019,100 000 km,Automatique,8 cv,Essence,5,1500,Traction,101 000
Land,Rover Discovery Sport,2017,160 000 km,Automatique,8 cv,Diesel,4,1398,Traction,125 000
Citroën,C3 Shine,2019,90 000 km,Manuelle,4 cv,Essence,5,1498,Traction,44 500
Volkswagen,Amarok,2012,370 000 km,Manuelle,7 cv,Diesel,5,4000,Traction,49 000
Mercedes-Benz,Classe E Business,2022,8 000 km,Automatique,9 cv,Essence,4,2000,Traction,Sous leasing                    291 800
Mini,3 portes one,2013,140 000 km,Manuelle,4 cv,Essence,5,1500,Traction,37 000
BMW,Série 1,2017,126 000 km,Manuelle,7 cv,Essence,5,2143,Traction,68 000
Toyota,Hilux Double Cabine 4*4,2024,3 000 km,Manuelle,8 cv,Essence,4,1600,Traction,231 000
Peugeot,2008 Allure,2022,34 000 km,Automatique,7 cv,Essence,5,1500,Traction,97 000
Mercedes-Benz,Classe A AMG,2022,20 000 km,Automatique,8 cv,Essence,5,1198,Traction,158 000
Volkswagen,Passat R-Line,2020,60 000 km,Automatique,8 cv,Essence,4,1198,Traction,106 000
Volkswagen,Tiguan,2018,60 000 km,Automatique,7 cv,Essence,5,999,Traction,90 000
Mercedes-Benz,Classe C AMG,2014,160 000 km,Automatique,9 cv,Essence,5,2497,Traction,99 000
Chery,Tiggo 8 Pro,2022,80 000 km,Automatique,11 cv,Essence,5,1197,Traction,96 000
BYD,F3,2022,10 000 km,Manuelle,7 cv,Essence,5,1498,Traction,47 000
Citroën,C3 Shine,2019,58 000 km,Manuelle,5 cv,Essence,5,1560,Traction,44 500
BMW,Série 4 Coupé 420i Pack M,2015,160 000 km,Automatique,10 cv,Essence,3,1995,Traction,107 000
Audi,Q3 S-line,2017,100 000 km,Automatique,7 cv,Essence,2,1000,Traction,90 000
Volkswagen,Golf 8 United,2020,26 000 km,Manuelle,6 cv,Essence,5,2143,Traction,109 000
Peugeot,208,2020,60 000 km,Manuelle,4 cv,Essence,5,1500,Traction,35 000
Audi,A5 Cabriolet S-line,2010,120 000 km,Automatique,10 cv,Essence,2,1595,Traction,59 000
Honda,Accord,2022,11 000 km,Automatique,10 cv,Essence,3,1600,Traction,135 000
Volkswagen,Golf 7,2019,40 000 km,Manuelle,5 cv,Essence,4,1399,Traction,74 000
KIA,Sportage,2020,40 000 km,Automatique,8 cv,Essence,4,1685,Traction,119 000
BMW,Série 2 Gran Coupé 218i,2022,21 000 km,Automatique,8 cv,Essence,5,920,Traction,135 000
Fiat,Tipo 5 portes,2018,75 000 km,Manuelle,5 cv,Essence,2,2000,Traction,46 000
Haval,H6,2022,13 000 km,Automatique,8 cv,Essence,5,1500,Traction,Sous leasing                    150 600
Volkswagen,Golf 7 Smartline,2015,140 000 km,Automatique,5 cv,Essence,5,1500,Traction,52 000
Haval,H6 Luxury,2019,90 000 km,Automatique,9 cv,Essence,5,1199,Traction,78 000
