Marque,Modèle,road,year,boite,transmission,horsepower,fuel,Prix
Mercedes-Benz,Classe E 200,330 000 km,2010,Automatique,Traction,10 cv,Essence,51 000
Mercedes-Benz,Classe E e220,330 000 km,2011,Automatique,Traction,9 cv,Diesel,77 000
Volkswagen,Golf 8 R-Line,40 000 km,2021,Automatique,Traction,8 cv,Essence,145 000
Mercedes-Benz,Classe C AMG,16 000 km,2023,Automatique,Traction,9 cv,Essence,240 000
Dodge,RAM Rumble bee,65 000 km,2019,Automatique,Traction,18 cv,Essence,Non dédouané                    212 000
Mercedes-Benz,CLA,163 000 km,2014,Automatique,Traction,7 cv,Essence,81 000
Haval,H2 Luxury,40 000 km,2019,Automatique,Traction,9 cv,Essence,69 000
Haval,H6 Luxury,32 000 km,2019,Automatique,Traction,9 cv,Essence,86 000
Mercedes-Benz,CLA AMG,30 000 km,2021,Automatique,Traction,7 cv,Essence,169 000
Mercedes-Benz,Classe A 180d,50 000 km,2019,Automatique,Traction,6 cv,Diesel,98 000
Volkswagen,Golf 7,64 000 km,2019,Automatique,Traction,6 cv,Essence,74 000
Audi,A3 Sportback S-Line,70 000 km,2019,Automatique,Traction,7 cv,Essence,95 000
Mercedes-Benz,Classe C AMG,40 000 km,2022,Automatique,Traction,9 cv,Essence,205 000
DS,7 Crossback Grand Chic,140 000 km,2021,Automatique,Traction,10 cv,Essence,105 000
Mercedes-Benz,Classe C AMG,50 000 km,2022,Automatique,Traction,9 cv,Hybride,Sous leasing                    264 200
Volkswagen,Golf 7 Join,70 000 km,2018,Automatique,Traction,6 cv,Essence,84 000
Mercedes-Benz,CLA 220,240 000 km,2013,Automatique,Traction,9 cv,Diesel,79 000
BMW,X6 Pack M,270 000 km,2008,Automatique,Traction,15 cv,Diesel,110 000
Audi,A5 Cabriolet S-line,120 000 km,2010,Automatique,Traction,10 cv,Essence,59 000
Seat,Leon Style,65 000 km,2020,Manuelle,Traction,6 cv,Essence,73 000
Citroën,Berlingo Utilitaire,170 000 km,2018,Manuelle,Traction,5 cv,Diesel,37 500
KIA,Sportage,23 000 km,2022,Automatique,Traction,10 cv,Essence,143 000
Volkswagen,Golf 7,180 000 km,2019,Automatique,Traction,5 cv,Essence,64 000
Mercedes-Benz,Classe S 350,170 000 km,2008,Automatique,Traction,19 cv,Essence,78 000
Volkswagen,Tiguan Confortline,33 000 km,2020,Automatique,Traction,8 cv,Essence,128 000
Volkswagen,Golf 7 R-Line,130 000 km,2018,Manuelle,Traction,6 cv,Essence,80 000
Hyundai,Kona,30 000 km,2021,Manuelle,Traction,6 cv,Hybride,79 000
Seat,Leon FR,70 000 km,2022,Automatique,Traction,8 cv,Essence,Sous leasing                    122 800
Hyundai,Grand i10,30 000 km,2022,Manuelle,Traction,5 cv,Essence,53 000
Peugeot,2008 GT_LINE,30 000 km,2021,Manuelle,Traction,7 cv,Essence,92 000
Mercedes-Benz,Classe C coupé AMG,40 000 km,2019,Automatique,Traction,9 cv,Essence,179 000
KIA,Sportage GT-Line,120 000 km,2021,Automatique,Traction,6 cv,Hybride,119 000
BMW,Série 3 318i,117 000 km,2017,Automatique,Traction,7 cv,Essence,88 000
Chery,Tiggo 2 Confort,60 000 km,2020,Manuelle,Traction,6 cv,Essence,43 500
Haval,Jolion,40 000 km,2022,Automatique,Traction,9 cv,Essence,87 000
Mercedes-Benz,Classe C AMG,40 000 km,2022,Automatique,Traction,9 cv,Hybride,208 000
Hyundai,Grand i10,54 000 km,2021,Automatique,Traction,5 cv,Essence,53 000
Seat,Ibiza FR,100 000 km,2020,Automatique,Traction,6 cv,Essence,68 000
Mercedes-Benz,CLA AMG,20 000 km,2020,Automatique,Traction,7 cv,Essence,169 000
Seat,Ibiza FR,50 000 km,2020,Manuelle,Traction,6 cv,Essence,67 000
Volkswagen,T-roc,87 000 km,2020,Manuelle,Traction,6 cv,Essence,85 000
Mercedes-Benz,GLA AMG,74 000 km,2016,Automatique,Traction,8 cv,Essence,113 000
Mercedes-Benz,Classe C AMG,170 000 km,2014,Automatique,Traction,9 cv,Essence,115 000
Audi,Q3 Sportback,10 000 km,2021,Automatique,Traction,8 cv,Essence,188 000
Audi,Q5,100 000 km,2018,Automatique,Traction,11 cv,Diesel,215 000
Volkswagen,Golf 8 R-Line,70 000 km,2021,Automatique,Traction,8 cv,Essence,125 000
Jaguar,F-Pace R-DYNAMIC,165 000 km,2017,Automatique,Traction,10 cv,Diesel,185 000
Peugeot,3008 GT-line,260 000 km,2017,Automatique,Traction,9 cv,Essence,77 000
Land,Rover Range Rover Velar R-Dynamic,100 000 km,2019,Automatique,Traction,19 cv,Diesel,Non dédouané                    350 000
Porsche,Panamera PLATINUM édition,100 000 km,2014,Automatique,Traction,20 cv,Essence,255 000
Land,Rover Range Rover Velar R-Dynamic,90 000 km,2020,Automatique,Traction,11 cv,Essence,295 000
Dongfeng,Forthing T5 EVO,4 000 km,2023,Automatique,Traction,9 cv,Essence,Sous leasing                    182 900
Chery,Tiggo 3,75 000 km,2018,Manuelle,Traction,8 cv,Essence,47 000
Audi,Q3,77 000 km,2017,Automatique,Traction,7 cv,Essence,85 000
Renault,Kadjar Intens,150 000 km,2018,Automatique,Traction,7 cv,Essence,66 000
Volkswagen,Golf 8 R-Line,40 000 km,2021,Automatique,Traction,8 cv,Essence,155 000
Mercedes-Benz,Classe C AMG,35 000 km,2020,Automatique,Propulsion,6 cv,Hybride,205 000
Volkswagen,Golf 7 Join,120 000 km,2019,Automatique,Traction,6 cv,Essence,80 000
BMW,Série 4 Gran Coupé Luxury,100 000 km,2018,Automatique,Traction,7 cv,Essence,99 000
Hyundai,Tucson,24 000 km,2023,Automatique,Traction,10 cv,Essence,161 000
Hyundai,Tucson,120 000 km,2020,Automatique,Traction,8 cv,Essence,87 000
BMW,Série 1 Pack sport,70 000 km,2020,Automatique,Traction,7 cv,Essence,92 000
Fiat,Panda City Cross,20 000 km,2022,Manuelle,Traction,4 cv,Essence,45 000
BMW,Série 4 Gran Coupé 418 PACK M,110 000 km,2017,Automatique,Traction,7 cv,Essence,125 000
Mercedes-Benz,Classe E AMG,135 000 km,2011,Automatique,Traction,10 cv,Essence,77 000
Mercedes-Benz,Classe C AMG,80 000 km,2022,Automatique,Traction,9 cv,Essence,215 000
Dongfeng,SX3,30 000 km,2021,Manuelle,Traction,7 cv,Essence,65 000
Volkswagen,Golf 8 United,16 000 km,2021,Manuelle,Traction,6 cv,Essence,128 000
Mercedes-Benz,Classe A AMG,15 000 km,2022,Automatique,Traction,8 cv,Essence,172 000
Mercedes-Benz,Classe C AMG,80 000 km,2019,Automatique,Traction,9 cv,Diesel,148 000
MG,GS AWD,115 000 km,2017,Automatique,Traction,9 cv,Essence,62 000
Mitsubishi,ASX 4WD,55 000 km,2021,Automatique,Traction,9 cv,Essence,Sous leasing                    122 800
Land,Rover Discovery,130 000 km,2017,Automatique,Traction,8 cv,Diesel,126 000
Audi,A5 Sportback,70 000 km,2021,Automatique,Traction,8 cv,Essence,185 000
BMW,Série 7 Individuel,300 000 km,2008,Automatique,Traction,22 cv,Essence,45 000
Land,Rover Range Rover Sport,160 000 km,2014,Automatique,Traction,15 cv,Diesel,245 000
BMW,Série 4 Coupé,78 000 km,2017,Automatique,Traction,7 cv,Essence,110 000
MG,GS AWD 2.0,100 000 km,2017,Automatique,Traction,13 cv,Essence,61 000
Peugeot,RCZ,171 000 km,2011,Manuelle,Traction,7 cv,Essence,40 000
Land,Rover Discovery Sport,94 000 km,2016,Automatique,Traction,8 cv,Diesel,118 000
Volkswagen,Amarok AWD,180 000 km,2016,Manuelle,Intégrale,7 cv,Diesel,87 000
BMW,Série 7 740I FACE-LIFT,220 000 km,2008,Automatique,Traction,22 cv,Essence,55 000
BMW,X4,140 000 km,2018,Automatique,Traction,10 cv,Diesel,139 000
Mercedes-Benz,CLA Urban,125 043 km,2018,Automatique,Traction,7 cv,Essence,97 000
Dacia,Logan Écran tactile,20 000 km,2021,Manuelle,Traction,5 cv,Essence,54 000
BMW,Série 4 Coupé,10 000 km,2021,Automatique,Traction,10 cv,Essence,225 000
Hyundai,Grand i10,80 000 km,2021,Manuelle,Traction,5 cv,Essence,41 900
MG,ZS,49 000 km,2019,Manuelle,Propulsion,7 cv,Essence,57 000
BMW,X1,69 000 km,2017,Automatique,Traction,7 cv,Essence,79 000
Suzuki,Swift GL,41 000 km,2017,Manuelle,Intégrale,5 cv,Essence,36 500
Nissan,Micra,160 000 km,2015,Manuelle,Traction,5 cv,Essence,33 900
Citroën,C4 Cactus Feel,148 000 km,2020,Manuelle,Intégrale,6 cv,Diesel,58 000
Fiat,Fiorino,65 000 km,2022,Manuelle,Traction,5 cv,Diesel,36 900
Volkswagen,Polo Sedan,150 000 km,2021,Manuelle,Traction,5 cv,Essence,46 500
BMW,X6 TT Options,190 000 km,2010,Automatique,Traction,15 cv,Diesel,95 000
BMW,Série 7,150 000 km,2009,Automatique,Traction,31 cv,Essence,92 000
Renault,Clio,80 000 km,2021,Manuelle,Propulsion,5 cv,Essence,43 500
Citroën,C4 Seduction,222 000 km,2014,Manuelle,Intégrale,6 cv,Diesel,39 000
Seat,Ibiza,45 000 km,2021,Manuelle,Propulsion,4 cv,Essence,49 900
Mini,5 portes,160 000 km,2016,Manuelle,Traction,5 cv,Essence,51 000
Mercedes-Benz,CLA AMG,160 000 km,2013,Automatique,Intégrale,8 cv,Essence,78 000
Hyundai,Grand i10,19 000 km,2022,Manuelle,Traction,4 cv,Essence,44 500
KIA,Picanto,90 000 km,2022,Manuelle,Traction,5 cv,Essence,42 900
Haval,H6 Luxury,80 000 km,2020,Automatique,Traction,9 cv,Essence,78 500
Renault,Megane,155 000 km,2020,Manuelle,Propulsion,7 cv,Essence,50 000
Mercedes-Benz,CLS AMG,250 000 km,2011,Automatique,Traction,10 cv,Diesel,85 000
Hyundai,Trucks H350 TT Options,26 000 km,2022,Manuelle,Propulsion,10 cv,Diesel,74 000
Volkswagen,Golf 7,120 000 km,2019,Automatique,Propulsion,5 cv,Essence,57 000
Jeep,Compass,65 000 km,2016,Automatique,Traction,10 cv,Essence,65 000
Jaguar,XF,41 000 km,2018,Automatique,Traction,16 cv,Essence,135 000
Mercedes-Benz,Classe E AMG,167 000 km,2018,Automatique,Traction,9 cv,Essence,145 000
Volkswagen,Golf 6,180 000 km,2012,Manuelle,Traction,5 cv,Essence,46 800
Peugeot,2008 Allure Toit Cielo,61 000 km,2018,Automatique,Intégrale,6 cv,Essence,49 000
Seat,Leon Style,96 000 km,2014,Automatique,Intégrale,6 cv,Essence,52 000
Mercedes-Benz,Classe E Avantgarde,154 000 km,2018,Automatique,Traction,9 cv,Essence,118 000
Mercedes-Benz,Classe E Avantgarde,107 000 km,2018,Automatique,Traction,9 cv,Essence,128 000
Mazda,3,165 000 km,2019,Manuelle,Propulsion,6 cv,Essence,56 000
Volkswagen,Amarok Double Cabine,200 000 km,2016,Manuelle,Intégrale,10 cv,Diesel,79 000
Mercedes-Benz,Classe C,120 000 km,2019,Automatique,Propulsion,8 cv,Essence,110 000
Citroën,C3,130 000 km,2014,Manuelle,Traction,5 cv,Essence,28 000
Dacia,Dokker Van,150 000 km,2021,Manuelle,Traction,6 cv,Diesel,33 800
Mercedes-Benz,GLC AMG,142 000 km,2017,Automatique,Traction,12 cv,Essence,153 000
Ford,Focus,136 000 km,2018,Automatique,Propulsion,7 cv,Essence,48 000
Land,Rover Range Rover Sport,200 000 km,2016,Automatique,Intégrale,16 cv,Diesel,189 000
BMW,Série 1,210 000 km,2019,Automatique,Traction,7 cv,Essence,73 000
Ford,Mustang,16 000 km,2010,Automatique,Intégrale,28 cv,Essence,115 000
Mercedes-Benz,GLE Coupé AMG,74 000 km,2021,Automatique,Propulsion,8 cv,Hybride,375 000
Citroën,DS,99 000 km,2020,Automatique,Propulsion,10 cv,Essence,103 000
BMW,Série 5,173 000 km,2021,Automatique,Traction,10 cv,Essence,138 000
BMW,Série 5,260 000 km,2012,Automatique,Traction,10 cv,Essence,76 000
BMW,X6,289 000 km,2008,Automatique,Traction,22 cv,Essence,79 000
Audi,Q3,112 000 km,2018,Automatique,Propulsion,8 cv,Essence,97 000
Suzuki,Swift,220 000 km,2020,Manuelle,Traction,5 cv,Essence,33 500
Land,Rover Range Rover Sport Autobiography,200 000 km,2011,Automatique,Intégrale,16 cv,Diesel,119 000
Fiat,500,19 000 km,2019,Automatique,Propulsion,4 cv,Essence,55 000
BMW,Série 3,210 000 km,2013,Automatique,Propulsion,7 cv,Essence,63 500
Toyota,C-HR,133 000 km,2018,Automatique,Propulsion,6 cv,Essence,72 000
Peugeot,2008,133 000 km,2017,Manuelle,Propulsion,5 cv,Essence,46 000
Ford,Fusion,85 000 km,2016,Manuelle,Propulsion,9 cv,Essence,57 000
Land,Rover Discovery Sport,187 000 km,2017,Automatique,Traction,10 cv,Diesel,117 000
Hyundai,Santa Fe,113 000 km,2016,Automatique,Traction,11 cv,Essence,140 000
Audi,Q3,50 000 km,2022,Automatique,Propulsion,9 cv,Essence,155 000
Jeep,Renegade,74 000 km,2019,Automatique,Propulsion,8 cv,Essence,79 000
KIA,Seltos,37 000 km,2021,Automatique,Traction,8 cv,Essence,95 000
BMW,Série 3,180 000 km,1988,Manuelle,Propulsion,7 cv,Diesel,20 900
Suzuki,Swift GL,90 000 km,2018,Manuelle,Traction,5 cv,Essence,33 800
Nissan,350Z,40 000 km,2003,Automatique,Propulsion,20 cv,Essence,87 000
BMW,Série 5,190 000 km,2005,Automatique,Propulsion,18 cv,Diesel,87 000
Volkswagen,Golf 7,70 000 km,2016,Automatique,Traction,13 cv,Essence,106 000
BMW,X6,200 000 km,2010,Automatique,Intégrale,15 cv,Diesel,98 000
KIA,Sportage,39 000 km,2022,Automatique,Intégrale,10 cv,Essence,Sous leasing                    148 600
Mercedes-Benz,GLA AMG,67 000 km,2016,Automatique,Intégrale,8 cv,Essence,115 000
Dacia,Dokker Van,90 000 km,2020,Manuelle,Traction,6 cv,Diesel,34 900
Toyota,Hilux Simple Cabine,480 000 km,2010,Manuelle,Intégrale,10 cv,Diesel,73 800
Peugeot,3008 Crossway,140 000 km,2018,Automatique,Traction,7 cv,Essence,82 000
Cupra,Formentor Style,56 000 km,2021,Automatique,Intégrale,8 cv,Hybride,129 000
Renault,Arkana Intense,73 000 km,2022,Automatique,Intégrale,5 cv,Hybride,89 000
KIA,Sportage GT-Line,140 000 km,2016,Automatique,Propulsion,10 cv,Diesel,97 000
Mercedes-Benz,Classe E Avantgarde,161 000 km,2009,Automatique,Propulsion,12 cv,Diesel,59 000
KIA,Rio Berline SX,114 000 km,2019,Automatique,Traction,6 cv,Essence,58 000
BMW,Série 1 Sport,115 000 km,2015,Automatique,Intégrale,9 cv,Essence,62 000
DS,4 Crossback,150 000 km,2017,Automatique,Traction,9 cv,Essence,54 000
Mercedes-Benz,ML 320 CDI,250 000 km,2010,Automatique,Intégrale,15 cv,Diesel,79 000
Mahindra,KUV 100,20 000 km,2021,Manuelle,Intégrale,5 cv,Essence,34 000
Skoda,Scala Essence,95 000 km,2020,Automatique,Traction,6 cv,Essence,67 000
Ssangyong,Korando Classic,160 000 km,2021,Automatique,Propulsion,7 cv,Essence,75 000
MG,5,37 000 km,2022,Automatique,Traction,7 cv,Essence,57 000
Citroën,Nemo Business,130 000 km,2018,Manuelle,Propulsion,5 cv,Diesel,28 000
Peugeot,Partner Origin Utilitaire Pack Clim PM,73 000 km,2019,Manuelle,Traction,5 cv,Diesel,56 000
KIA,Sportage GT-Line,139 000 km,2018,Automatique,Traction,7 cv,Diesel,95 000
Cupra,Formentor Sport,41 000 km,2022,Automatique,Traction,11 cv,Essence,155 000
BMW,Série 4 Gran Coupé M,110 000 km,2017,Automatique,Propulsion,7 cv,Essence,120 000
Mercedes-Benz,Classe E coupé,160 000 km,2011,Automatique,Propulsion,11 cv,Essence,62 000
Peugeot,206+ Populaire,110 000 km,2012,Manuelle,Traction,4 cv,Essence,23 500
KIA,Sportage Hybride GT-Line,36 000 km,2023,Automatique,Traction,10 cv,Hybride,150 000
KIA,Rio 5p SX,68 954 km,2019,Manuelle,Traction,5 cv,Essence,54 000
Volkswagen,Golf 7 Highline,26 043 km,2016,Manuelle,Traction,7 cv,Essence,75 000
Volkswagen,Golf 8 Life,70 001 km,2020,Manuelle,Traction,6 cv,Essence,87 000
Toyota,Land Cruiser,142 060 km,2010,Automatique,Traction,11 cv,Diesel,175 000
Volkswagen,Golf 7 Confortline,169 452 km,2019,Automatique,Traction,6 cv,Essence,69 000
BMW,Série 1,131 766 km,2009,Automatique,Traction,7 cv,Essence,40 000
Mercedes-Benz,Classe E AMG,55 001 km,2019,Automatique,Traction,9 cv,Essence,165 000
Mercedes-Benz,Classe C AMG +,0 km,2024,Automatique,Traction,9 cv,Essence,275 000
Mercedes-Benz,GLA La nouvelle Gla 250e AMG,10 730 km,2023,Automatique,Traction,8 cv,Hybride,235 000
Mercedes-Benz,Classe E AMG,10 776 km,2023,Automatique,Traction,11 cv,Essence,390 000
BMW,X3 Luxury Line,186 000 km,2006,Automatique,Traction,13 cv,Diesel,65 000
Mercedes-Benz,Classe C AMG,50 893 km,2022,Automatique,Traction,9 cv,Hybride,185 000
KIA,Picanto Populaire,3 805 km,2021,Manuelle,Traction,4 cv,Essence,43 000
Lada,4x4 Urban,24 387 km,2018,Manuelle,Traction,7 cv,Essence,36 000
Haval,H6,12 442 km,2023,Automatique,Traction,8 cv,Essence,126 000
Nissan,Juke Tekna,163 166 km,2014,Automatique,Traction,7 cv,Essence,51 000
Mitsubishi,Pajero LIMITED EDITION,20 742 km,2023,Manuelle,Traction,11 cv,Diesel,160 000
Mercedes-Benz,CLA AMG Edition 1,31 235 km,2021,Automatique,Traction,8 cv,Hybride,169 900
Peugeot,308 GT-Line GT-Line,96 300 km,2020,Manuelle,Traction,5 cv,Diesel,64 000
Toyota,Prado,199 425 km,2003,Manuelle,Traction,12 cv,Diesel,129 000
Mini,5 portes,18 000 km,2021,Automatique,Traction,7 cv,Essence,135 000
BMW,Série 3 coupé,156 000 km,2010,Automatique,Traction,9 cv,Essence,62 000
Mahindra,KUV 100 K6+,63 000 km,2021,Manuelle,Traction,5 cv,Essence,30 000
Haval,Jolion 1 ere,30 000 km,2023,Automatique,Traction,9 cv,Essence,93 000
Peugeot,308,48 000 km,2023,Automatique,Traction,7 cv,Diesel,126 000
Volkswagen,Tiguan R-Line,54 723 km,2023,Automatique,Traction,9 cv,Essence,198 000
Peugeot,Expert,139 199 km,2019,Manuelle,Traction,6 cv,Diesel,59 000
Volkswagen,Golf 8 R-Line,36 651 km,2022,Automatique,Traction,8 cv,Hybride,138 000
Ford,Ecosport 1 ère main,21 544 km,2022,Manuelle,Traction,7 cv,Essence,85 000
Mini,Cabrio,86 111 km,2010,Manuelle,Traction,7 cv,Essence,48 000
KIA,Picanto 1 ère main,0 km,2024,Automatique,Traction,5 cv,Essence,61 000
Porsche,Cayman S,39 508 km,2008,Manuelle,Traction,21 cv,Essence,275 000
Seat,Ibiza,99 519 km,2021,Manuelle,Traction,4 cv,Essence,54 000
Toyota,Land Cruiser,316 620 km,2003,Automatique,Traction,12 cv,Diesel,119 000
Mercedes-Benz,GLC Coupé AMG,82 415 km,2020,Automatique,Traction,10 cv,Hybride,230 000
Mercedes-Benz,Classe C AMG,249 000 km,2011,Automatique,Traction,9 cv,Essence,65 000
Mercedes-Benz,Classe C,30 570 km,2021,Automatique,Traction,8 cv,Essence,178 000
Peugeot,3008,105 000 km,2017,Automatique,Traction,9 cv,Essence,71 000
Mercedes-Benz,CLA AMG,1 000 km,2024,Automatique,Traction,8 cv,Hybride,225 000
Volkswagen,Golf 8,85 181 km,2020,Manuelle,Traction,5 cv,Essence,88 000
Volkswagen,Golf 7 Join,86 000 km,2018,Manuelle,Traction,6 cv,Essence,79 000
Volkswagen,T-roc,74 107 km,2019,Manuelle,Traction,6 cv,Essence,78 000
Renault,Symbol,115 000 km,2020,Manuelle,Traction,5 cv,Essence,36 000
Mercedes-Benz,CLA AMG,18 500 km,2023,Automatique,Traction,8 cv,Hybride,185 000
Mercedes-Benz,Classe A AMG,68 000 km,2018,Automatique,Traction,8 cv,Essence,135 000
BMW,Série 3 Luxury,112 000 km,2013,Automatique,Traction,7 cv,Essence,65 000
Audi,Q5 S-line,176 000 km,2015,Automatique,Traction,10 cv,Diesel,110 000
Mercedes-Benz,Classe C AMG,145 000 km,2019,Automatique,Traction,6 cv,Diesel,145 000
Peugeot,2008 Allure Toit Cielo Blanc Nacré,125 000 km,2018,Automatique,Traction,6 cv,Essence,50 000
Mercedes-Benz,Classe A AMG,141 000 km,2019,Automatique,Traction,7 cv,Diesel,119 000
Hyundai,i30 Fastback High grade,19 000 km,2022,Automatique,Traction,8 cv,Essence,86 500
Haval,H6 Luxury,100 000 km,2019,Automatique,Traction,9 cv,Essence,71 000
Fiat,Punto,216 000 km,2015,Manuelle,Traction,4 cv,Essence,29 000
Mercedes-Benz,CLA AMG,25 000 km,2021,Automatique,Traction,8 cv,Hybride,170 000
Mercedes-Benz,Classe A AMG,35 000 km,2020,Automatique,Traction,8 cv,Hybride,135 000
Peugeot,308,102 000 km,2020,Manuelle,Traction,5 cv,Essence,50 000
Mercedes-Benz,Classe C AMG +,6 569 km,2022,Automatique,Propulsion,9 cv,Hybride,245 000
Chery,Tiggo 3X,8 000 km,2022,Automatique,Traction,6 cv,Essence,58 000
Seat,Ibiza,45 000 km,2023,Automatique,Traction,6 cv,Essence,76 000
Seat,Ibiza,46 000 km,2023,Automatique,Propulsion,6 cv,Essence,73 000
